Address,Latitude,Longitude
TAMPINES AVENUE 5,1.347878314,103.9417411
TAMPINES AVENUE 8,1.349361635,103.9284901
TAMPINES STREET 71,1.376741929,103.9375533
TAMPINES STREET 82,1.352102995,103.9365343
TAMPINES STREET 83,1.350362805,103.9345545
TAMPINES STREET 84,1.353341241,103.9334114
YISHUN AVENUE 6,1.438462312,103.8390707
YISHUN AVENUE 9,1.431623708,103.8398484
YISHUN RING ROAD,1.416912101,103.8353363
YISHUN STREET 21,1.432604239,103.8380117
YISHUN STREET 22,1.435915985,103.8378584
TAMPINES STREET 21,1.353435453,103.9530237
TAMPINES STREET 41,1.357832439,103.9457735
BOON LAY WAY,1.327476552,103.7535656
CORPORATION RISE,1.339235707,103.7182653
CORPORATION ROAD,1.32454068,103.7201659
CORPORATION WALK,1.339591347,103.7182313
LAKEPOINT DRIVE,1.340475094,103.716756
LAKESIDE DRIVE,1.3433524,103.7193036
JALAN SENANG,1.325572395,103.9171842
LENGKONG EMPAT,1.327302817,103.9113593
LENGKONG TUJOH,1.328540551,103.9151246
CHANGI ROAD,1.317486923,103.9041243
JALAN EUNOS,1.324930002,103.9060093
KAMPONG EUNOS,1.318463907,103.9060768
LORONG G TELOK KURAU,1.316519135,103.905813
LORONG H TELOK KURAU,1.315610989,103.9060496
LORONG SARINA,1.320147428,103.9061031
CHOA CHU KANG NORTH 5,1.391845655,103.7466351
CHOA CHU KANG STREET 53,1.390595593,103.7480241
BEDOK RESERVOIR ROAD,1.337587346,103.9219636
TEO KIM ENG ROAD,1.32884614,103.9081591
GEYLANG ROAD,1.310084296,103.8707783
LORONG 37 GEYLANG,1.315288105,103.8894301
LORONG 39 GEYLANG,1.315311409,103.8904994
LORONG 40 GEYLANG,1.313646131,103.8893635
SIMS AVENUE,1.316163609,103.8895452
PASIR RIS STREET 51,1.366934465,103.9529987
TAMPINES STREET 81,1.348732845,103.9340102
CHOA CHU KANG STREET 52,1.394471449,103.7440544
CHOA CHU KANG STREET 51,1.391739381,103.7425938
KINGS ROAD,1.318336782,103.8062134
KING'S CLOSE,1.316661671,103.8038651
HOUGANG AVENUE 6,1.373403635,103.8909715
HOUGANG AVENUE 8,1.371437365,103.8812611
FARRER ROAD,1.317439152,103.8073792
CHILTERN DRIVE,1.348567823,103.8620024
JALAN GIRANG,1.347367382,103.8684903
JALAN RIANG,1.347131018,103.8673684
JALAN SUKACHITA,1.348007673,103.867383
MELROSE DRIVE,1.347832374,103.8644825
AH HOOD RD,1.338608946,103.856476
JALAN DUSUN,1.326965399,103.8436742
JALAN RAJA UDANG,1.326945144,103.8424771
CHOA CHU KANG STREET 52,1.394471449,103.7440544
CHOA CHU KANG NORTH 6,1.397084324,103.746598
JURONG WEST STREET 52,1.349642302,103.7184475
CHAI CHEE AVE,1.324162235,103.9239893
JALAN TERANG BULAN,1.32240273,103.9250884
JALAN MANIS,1.324725412,103.9490542
ST FRANCIS ROAD,1.325051,103.8641799
ST George's ROAD,1.323402637,103.8616308
ST MICHAEL ROAD,1.326049966,103.8556015
SERANGOON NORTH AVENUE 1,1.369950992,103.8723123
SERANGOON NORTH AVENUE 2,1.369201697,103.8756266
BRIGHT HILL DRIVE,1.357077779,103.831739
SIN MING AVENUE,1.360990605,103.8289744
LORONG 1 TOA PAYOH,1.341238207,103.8463895
TOA PAYOH NORTH,1.341797516,103.8461107
TAMPINES PLACE,1.366637789,103.9294399
TAMPINES STREET 11,1.348329155,103.9484307
COMMONWEALTH DRIVE,1.299966377,103.7977201
SERANGOON CENTRAL,1.353880327,103.8723667
TAMPINES AVENUE 4,1.34656173,103.93734
BUKIT BATOK STREET 31,1.358099282,103.7507197
BUKIT BATOK STREET 51,1.357188206,103.7511239
CHUAN HOE AVENUE,1.364159744,103.8749178
PARRY AVENUE,1.3640734,103.8812785
COMPASSVALE WALK,1.389336348,103.9002572
SIMS AVE,1.316163609,103.8895452
LENGKONG DUA,1.324098533,103.9133026
PENSHURST PLACE,1.362673723,103.8653874
MEDWAY DRIVE,1.362181886,103.8648185
