,Station,Month,Daily Rainfall Total (mm),Maximum Temperature (°C),Minimum Temperature (°C),Dengue Clusters,Date,Latitude,Longitude
0,Admiralty,5.0,0.0,32.7,25.6,0,2013-05-28,1.4439,103.7854
1,Ang Mo Kio,5.0,0.0,33.1,25.9,0,2013-05-28,1.3764,103.8492
2,Changi,5.0,0.0,32.5,25.5,0,2013-05-28,1.3678,103.9826
3,Choa Chu Kang (South),5.0,0.0,32.8,25.5,0,2013-05-28,1.3729,103.7224
4,Clementi,5.0,0.0,33.1,25.7,0,2013-05-28,1.3337,103.7768
5,East Coast Parkway,5.0,0.0,30.8,26.4,0,2013-05-28,1.3134,103.9619
6,Jurong (West),5.0,0.0,32.8,25.2,0,2013-05-28,1.3455,103.6806
7,Jurong Island,5.0,0.0,33.0,25.6,0,2013-05-28,1.2542,103.6741
8,Marina Barrage,5.0,0.0,33.2,26.6,0,2013-05-28,1.2799,103.8703
9,Newton,5.0,0.0,32.5,26.0,0,2013-05-28,1.3106,103.8365
10,Pasir Panjang,5.0,0.0,32.0,26.6,0,2013-05-28,1.281,103.754
11,Paya Lebar,5.0,0.0,33.2,26.6,0,2013-05-28,1.3524,103.9007
12,Pulau Ubin,5.0,0.0,32.7,24.1,0,2013-05-28,1.4168,103.9673
13,Seletar,5.0,0.0,33.8,26.0,0,2013-05-28,1.4166,103.8654
14,Semakau Island,5.0,0.0,30.6,26.8,0,2013-05-28,1.189,103.768
15,Sembawang,5.0,0.0,32.7,23.8,0,2013-05-28,1.4252,103.8202
16,Sentosa Island,5.0,0.0,32.4,26.7,0,2013-05-28,1.25,103.8279
17,Tai Seng,5.0,0.0,33.2,26.8,0,2013-05-28,1.3399,103.8878
18,Tuas South,5.0,0.0,32.1,26.8,0,2013-05-28,1.2938,103.6184
19,Admiralty,5.0,0.2,28.5,26.0,0,2013-05-29,1.4439,103.7854
20,Ang Mo Kio,5.0,0.8,28.5,26.2,0,2013-05-29,1.3764,103.8492
21,Changi,5.0,1.4,28.2,26.1,0,2013-05-29,1.3678,103.9826
22,Choa Chu Kang (South),5.0,0.2,27.9,25.8,0,2013-05-29,1.3729,103.7224
23,Clementi,5.0,0.4,28.5,26.3,0,2013-05-29,1.3337,103.7768
24,East Coast Parkway,5.0,0.8,28.2,26.5,0,2013-05-29,1.3134,103.9619
25,Jurong (West),5.0,0.2,28.1,25.6,0,2013-05-29,1.3455,103.6806
26,Jurong Island,5.0,0.2,29.3,26.2,0,2013-05-29,1.2542,103.6741
27,Marina Barrage,5.0,1.0,29.4,26.7,0,2013-05-29,1.2799,103.8703
28,Newton,5.0,0.6,28.4,26.1,0,2013-05-29,1.3106,103.8365
29,Pasir Panjang,5.0,0.2,29.6,26.8,0,2013-05-29,1.281,103.754
30,Paya Lebar,5.0,1.0,29.0,25.2,0,2013-05-29,1.3524,103.9007
31,Pulau Ubin,5.0,1.6,27.5,25.1,0,2013-05-29,1.4168,103.9673
32,Seletar,5.0,0.7,28.6,26.4,0,2013-05-29,1.4166,103.8654
33,Semakau Island,5.0,0.4,29.8,26.5,0,2013-05-29,1.189,103.768
34,Sembawang,5.0,0.2,28.2,24.9,0,2013-05-29,1.4252,103.8202
35,Sentosa Island,5.0,0.8,29.0,26.5,0,2013-05-29,1.25,103.8279
36,Tai Seng,5.0,0.8,29.4,27.1,0,2013-05-29,1.3399,103.8878
37,Tuas South,5.0,0.0,29.2,26.8,0,2013-05-29,1.2938,103.6184
38,Admiralty,5.0,0.8,31.7,23.9,0,2013-05-30,1.4439,103.7854
39,Ang Mo Kio,5.0,0.4,32.8,24.1,0,2013-05-30,1.3764,103.8492
40,Changi,5.0,3.6,31.8,24.0,0,2013-05-30,1.3678,103.9826
41,Choa Chu Kang (South),5.0,0.2,32.0,24.6,0,2013-05-30,1.3729,103.7224
42,Clementi,5.0,0.2,32.1,24.7,0,2013-05-30,1.3337,103.7768
43,East Coast Parkway,5.0,0.0,29.8,25.0,0,2013-05-30,1.3134,103.9619
44,Jurong (West),5.0,0.4,31.6,23.8,0,2013-05-30,1.3455,103.6806
45,Jurong Island,5.0,14.8,30.8,23.7,0,2013-05-30,1.2542,103.6741
46,Marina Barrage,5.0,0.0,32.0,25.7,0,2013-05-30,1.2799,103.8703
47,Newton,5.0,0.0,31.4,24.5,0,2013-05-30,1.3106,103.8365
48,Pasir Panjang,5.0,0.0,30.6,25.5,0,2013-05-30,1.281,103.754
